feature_index,mean,scale,variance
0,1230.0604520000002,65.78293344336798,4327.394332414582
1,0.003632,0.0002275434024532464,5.1776000000000066e-08
2,0.0034120000000000005,4.7916594202843674e-05,2.295999999999992e-09
3,1.2746,0.240971865577706,0.058067440000000005
4,0.0011611999999999998,4.4228497600529e-05,1.95616e-09
5,25.8,0.9797958971132713,0.9600000000000002
6,1.0,1.0,0.0
7,0.0,1.0,0.0
8,187.71310572,10.752963217840307,115.62621796422658
9,0.0,1.0,0.0
10,0.0,1.0,0.0
11,0.0,1.0,0.0
12,0.6256195999999999,0.03741920142707482,0.0014001966354399982
13,99.37438039999999,0.03741920142707435,0.0014001966354399626
14,0.020072399999999997,0.006688801076426178,4.474005984e-05
15,0.11039879999999999,0.01704478563549568,0.00029052471735999987
16,0.4717332000000001,0.019589822351415036,0.00038376113976000016
17,0.0320000756,0.0046424478022065304,2.1552321596212246e-05
18,16.13612725,1.0,0.0
19,44.2844264,0.03143814076945313,0.000988356695039951
20,55.715573600000006,0.031438140769453136,0.0009883566950399513
21,9395431014.4,15016.184037231294,225485783.03999996
22,719982592.0,1.0,0.0
23,444567552.0,317982.5866125376,101112925388.8
24,1003917312.0,1.0,0.0
